HybridID,BrNC_XBlock,NCBr_YBlock,BrRo_XBlock,RoBr_YBlock,BrBC_XBlock,BCBr_YBlock
5001,-0.015077603,-0.029009757,-0.018552262,-0.020559015,-0.000408992,0.019710397
5002,-0.014028935,-0.022120982,-0.018715408,-0.011750278,-0.006950433,0.021613508
5004,-0.020548537,-0.036596043,-0.024127315,-0.02477732,0.00168396,0.025990504
5005,-0.019124758,-0.012326839,-0.022087901,-0.013799124,0.004992769,0.000373019
5006,-0.026078778,0.008780589,-0.035074994,-0.006810853,-0.008740302,-0.039049809
5007,-0.013212662,0.018734623,-0.018502075,0.016023837,-0.009496244,-0.011311788
5009,-0.027641428,-0.002127572,-0.033730802,-0.003056724,0.005766174,0.001655665
5073,-0.004621936,-0.002057606,-0.008219143,-0.002054389,-0.007024149,-0.000568419
5087,-0.01591119,-0.017415919,-0.019301719,-0.018778198,0.001186979,0.002062507
5092,-0.017548266,-0.013894945,-0.023060634,-0.010155805,-0.00496004,0.007381064
5094,-0.020620415,-0.017143222,-0.022659617,-0.009123873,0.011189403,0.019683216
5096,-0.021782008,-0.017434889,-0.022916529,-0.011845693,0.01155419,0.013233202
5103,-0.003803108,0.014443539,-0.007522576,0.004031401,-0.007947754,-0.016533292
5107,-0.016238709,-0.017018171,-0.014819537,-0.012792039,0.015255896,0.010659448
5108,-0.012851135,-0.020800441,-0.013710605,-0.015835466,0.00502419,0.01180193
5113,-0.018264254,-0.03722392,-0.015440429,-0.024512348,0.023482276,0.029570295
5115,-0.024760751,-0.028816653,-0.026115877,-0.018283405,0.012846467,0.023455074
5116,-0.008847567,-0.000309203,-0.012771232,0.001558706,-0.005922113,0.007887021
5121,-0.011439611,-0.006523916,-0.013821951,-0.00788457,0.003723446,-3.52E-05
5494,0.012212675,0.011815513,0.013539559,0.008069077,-0.004038338,-0.006711647
5495,0.007845258,0.009804035,0.009372635,0.009470032,-0.001258422,-0.00419629
5496,0.013087998,0.008302831,0.013563719,0.009550108,-0.007701732,0.001534195
5497,0.004950036,-0.011777589,0.005930297,-0.008851773,-0.001009362,0.007072014
5499,-0.004911251,-0.016949883,-0.00516384,-0.010284455,0.003791803,0.015043765
5500,-0.001749724,0.011491594,-0.000492492,0.00861044,0.006513469,-0.004186217
5501,0.00445232,0.015142803,0.005432918,0.012765207,0.000565616,-0.00826703
5502,0.009894989,0.01112553,0.006163262,0.007636561,-0.018560896,-0.008409409
5503,0.005506228,0.013239035,0.007857086,0.010932172,0.004910411,-0.004709315
5507,0.028576924,0.025231287,0.028672224,0.024987371,-0.024548675,-0.009138763
5508,-0.008583955,-0.011439676,-0.008659562,-0.015649728,0.008971211,-0.000759349
5509,0.025570342,0.016213391,0.027240862,0.013417298,-0.015025488,-0.005488404
5510,0.008751756,-0.00551394,0.009199698,-0.004503995,-0.004879955,0.003091097
5512,0.010792122,-0.007533774,0.012657727,0.000182411,-0.003812797,0.012900505
5513,0.022288149,0.020794514,0.022098591,0.020779033,-0.019562885,-0.006774497
5514,-0.012978226,-0.016632147,-0.011907904,-0.016908049,0.01683731,0.006113295
5515,-0.000560737,-0.014837373,0.001500505,-0.011375665,0.008939615,0.010338723
5516,-0.011136816,0.006668832,-0.01815828,0.003885525,-0.011554978,-0.005971941
5517,0.003476879,-0.011579699,0.006100625,-0.004735994,0.004903311,0.010754663
5518,0.00393478,-0.010483039,0.004043395,-0.00562952,-0.003375254,0.009429792
5519,-0.008555875,-0.010686701,-0.008943336,-0.012860134,0.007262885,0.003181115
5520,-0.011846942,0.023461092,-0.013639043,0.020470821,0.004736913,-0.006288898
5521,-0.009705667,-0.021554616,-0.010293391,-0.016831973,0.007406925,0.015659005
5522,-0.000944829,-0.002646279,-0.004956264,-0.006943776,-0.01051787,-0.000752982
5523,-0.005082407,-0.021323765,-0.005701463,-0.01975012,0.004812368,0.010957031
5526,0.003553902,0.011335665,0.003872049,0.004902441,-0.001875191,-0.010327213
5527,0.009526466,0.00626896,0.013271828,0.005940889,0.003342721,-0.003116306
5528,0.007515225,0.00343542,0.008286161,0.002222479,-0.004895064,-0.001225988
5529,-0.000392039,-0.00204812,0.004736392,-0.002470823,0.018760489,0.001697737
5530,-0.015695001,-0.00807504,-0.013774107,-0.004402544,0.019603608,0.008932666
5531,0.010993939,0.009158301,0.017768845,0.006725108,0.015389865,-0.002219357
5532,-0.005583392,-0.005547581,-0.00766236,0.000649601,-0.002524635,0.009707064
5533,-0.011516285,-0.015987931,-0.009431337,-0.015806066,0.018131497,0.008804507
5534,-0.010598966,-0.015331646,-0.008739092,-0.01206155,0.014924066,0.007464593
5535,0.000298446,0.00071664,0.00072572,0.002544954,0.0033959,0.003366826
5536,-0.003924973,-0.017863708,-0.000818544,-0.013370908,0.012074376,0.009923603
5537,-0.004978981,-0.016229597,-0.001717772,-0.011526805,0.015201521,0.011105655
5538,-0.006085609,0.012184957,-0.004696724,0.012016688,0.010322773,-0.003205709
5539,-0.023334235,-0.016899004,-0.020786766,-0.013111581,0.028475266,0.009783701
5540,-0.011242508,-0.016135884,-0.009785187,-0.010105107,0.011567687,0.010414076
5541,-0.026914046,-0.017783113,-0.026106619,-0.00803699,0.025187926,0.016927378
5542,-0.002382983,-0.022553119,-0.002750443,-0.015902258,0.000219015,0.016137996
5543,-0.0190386,-0.018816368,-0.018510394,-0.012539686,0.018760823,0.014993045
5544,0.008122801,0.013894086,0.008273254,0.009513328,-0.006883587,-0.011162988
5545,-0.010494339,0.0134322,-0.008298076,0.007245635,0.018421182,-0.015311151
5546,-0.00039328,-0.016010396,0.003006075,-0.01164574,0.012324875,0.014762305
5547,-0.007256034,0.013572064,-0.012838837,0.005366336,-0.008882242,-0.014675219
5548,-0.002753327,-0.016272046,-0.005304541,-0.015339887,-0.004350863,0.005760829
5549,0.007445547,0.022364311,0.00932369,0.022809259,0.000937053,-0.009338422
5550,-0.007749432,-0.016520146,-0.009837289,-0.014612028,0.001678972,0.009012206
5551,-0.007508502,-0.006253942,-0.00396135,0.001739046,0.012976293,0.008604757
5552,0.007373403,0.031674532,0.005758215,0.023852991,-0.01425322,-0.021668706
5555,-0.003513047,0.004018528,-0.004191243,-0.000632702,0.001025851,-0.005695725
5556,-0.005686867,0.006243671,-0.005071072,0.011561439,0.004295965,0.006139561
5557,-0.003916752,0.019859765,-0.006008148,0.022166713,-0.005994936,-0.004959856
5558,-0.001296468,0.005279313,-0.001819451,0.002716627,-0.000981009,-0.006117554
5559,-0.013121449,-0.00352894,-0.013337102,-0.001555829,0.00513188,0.002574924
5561,0.001630657,0.009964851,-0.002656817,0.006071569,-0.015857105,-0.00976666
5562,-0.00466714,0.023067469,-0.006145975,0.01916682,-0.003899138,-0.009834075
5563,0.004892378,0.017389755,0.002229938,0.01291987,-0.014953884,-0.013929544
5564,-0.018061651,0.000535503,-0.019467397,0.000600884,0.007911113,-0.002463747
5565,-0.018752757,0.009828639,-0.020318276,0.008675643,0.008734407,-0.01086514
5566,-0.006612286,-0.02616256,-0.006638158,-0.01929023,0.005457626,0.018287039
5567,-0.009012929,-0.026926427,-0.009744482,-0.025084078,0.002785111,0.009413807
5568,0.0085771,0.010435832,0.004492139,0.004818607,-0.019425733,-0.01082375
5569,-0.021964355,0.003443819,-0.022381954,0.007264135,0.013358642,0.004245488
5570,0.00261705,0.023769543,-0.002725935,0.015569098,-0.020182747,-0.019459159
5572,0.002947998,0.021782483,0.002482977,0.019748381,-0.004685089,-0.009946808
5573,-0.006982852,0.019899498,-0.012513553,0.010443498,-0.014206338,-0.019820545
5574,0.017248894,0.021545527,0.012187265,0.00881813,-0.024407802,-0.024068194
5575,-0.003431262,-0.007001446,-0.005320199,-0.002541982,-0.005994488,0.006253164
5576,-0.003403791,0.013781656,-0.003951313,0.009768868,8.43E-06,-0.009639752
5577,0.004654012,0.017105582,0.00278424,0.015575837,-0.010278129,-0.009490943
5578,-0.016580954,-0.017275232,-0.017053384,-0.010408963,0.011925357,0.012352087
5579,0.009457326,-0.005341982,0.00929065,-0.009084682,-0.009590971,-0.004297286
5580,0.001171114,-0.011886753,0.006955719,-0.010986984,0.020620029,0.007873744
5581,0.010658103,0.026245187,0.011176007,0.013004418,-0.007265149,-0.023706284
